driverId,resultId,constructorId,result_number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,driverRef,number,code,forename,surname,dob,nationality,url
1,22218,131,44,1,1,1,1,25,66,1:41:05.155,6065155,54,3,1:29.483,187.275,1,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton
3,22219,131,6,2,2,2,2,18,66,+0.636,6065791,51,2,1:29.236,187.794,1,rosberg,6,ROS,Nico,Rosberg,1985-06-27,German,http://en.wikipedia.org/wiki/Nico_Rosberg
817,22220,9,3,3,3,3,3,15,66,+49.014,6114169,65,5,1:30.012,186.175,1,ricciardo,3,RIC,Daniel,Ricciardo,1989-07-01,Australian,http://en.wikipedia.org/wiki/Daniel_Ricciardo
20,22221,9,1,15,4,4,4,12,66,+1:16.702,6141857,55,1,1:28.918,188.465,1,vettel,5,VET,Sebastian,Vettel,1987-07-03,German,http://en.wikipedia.org/wiki/Sebastian_Vettel
822,22222,3,77,4,5,5,5,10,66,+1:19.293,6144448,47,8,1:30.424,185.326,1,bottas,77,BOT,Valtteri,Bottas,1989-08-28,Finnish,http://en.wikipedia.org/wiki/Valtteri_Bottas
4,22223,6,14,7,6,6,6,8,66,+1:27.743,6152898,55,4,1:29.898,186.411,1,alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,http://en.wikipedia.org/wiki/Fernando_Alonso
8,22224,6,7,6,7,7,7,6,65,\N,\N,53,11,1:30.580,185.007,11,raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen
154,22225,208,8,5,8,8,8,4,65,\N,\N,47,14,1:31.068,184.016,11,grosjean,8,GRO,Romain,Grosjean,1986-04-17,French,http://en.wikipedia.org/wiki/Romain_Grosjean
815,22226,10,11,11,9,9,9,2,65,\N,\N,39,13,1:30.756,184.648,11,perez,11,PER,Sergio,Pérez,1990-01-26,Mexican,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez
807,22227,10,27,10,10,10,10,1,65,\N,\N,42,16,1:31.411,183.325,11,hulkenberg,27,HUL,Nico,Hülkenberg,1987-08-19,German,http://en.wikipedia.org/wiki/Nico_H%C3%BClkenberg
18,22228,1,22,8,11,11,11,0,65,\N,\N,43,10,1:30.563,185.042,11,button,22,BUT,Jenson,Button,1980-01-19,British,http://en.wikipedia.org/wiki/Jenson_Button
825,22229,1,20,14,12,12,12,0,65,\N,\N,43,7,1:30.318,185.544,11,kevin_magnussen,20,MAG,Kevin,Magnussen,1992-10-05,Danish,http://en.wikipedia.org/wiki/Kevin_Magnussen
13,22230,3,19,9,13,13,13,0,65,\N,\N,55,9,1:30.468,185.236,11,massa,19,MAS,Felipe,Massa,1981-04-25,Brazilian,http://en.wikipedia.org/wiki/Felipe_Massa
826,22231,5,26,12,14,14,14,0,65,\N,\N,59,6,1:30.269,185.645,11,kvyat,26,KVY,Daniil,Kvyat,1994-04-26,Russian,http://en.wikipedia.org/wiki/Daniil_Kvyat
813,22232,208,13,22,15,15,15,0,65,\N,\N,39,15,1:31.235,183.679,11,maldonado,13,MAL,Pastor,Maldonado,1985-03-09,Venezuelan,http://en.wikipedia.org/wiki/Pastor_Maldonado
821,22233,15,21,13,16,16,16,0,65,\N,\N,55,12,1:30.666,184.832,11,gutierrez,21,GUT,Esteban,Gutiérrez,1991-08-05,Mexican,http://en.wikipedia.org/wiki/Esteban_Guti%C3%A9rrez
16,22234,15,99,16,17,17,17,0,65,\N,\N,38,17,1:31.473,183.201,11,sutil,99,SUT,Adrian,Sutil,1983-01-11,German,http://en.wikipedia.org/wiki/Adrian_Sutil
824,22235,206,17,18,18,18,18,0,64,\N,\N,46,20,1:31.784,182.580,12,jules_bianchi,17,BIA,Jules,Bianchi,1989-08-03,French,http://en.wikipedia.org/wiki/Jules_Bianchi
820,22236,206,4,17,19,19,19,0,64,\N,\N,44,18,1:31.767,182.614,12,chilton,4,CHI,Max,Chilton,1991-04-21,British,http://en.wikipedia.org/wiki/Max_Chilton
828,22237,207,9,19,20,20,20,0,64,\N,\N,54,22,1:33.350,179.517,12,ericsson,9,ERI,Marcus,Ericsson,1990-09-02,Swedish,http://en.wikipedia.org/wiki/Marcus_Ericsson
155,22238,207,10,20,\N,R,21,0,34,\N,\N,25,21,1:33.064,180.069,23,kobayashi,10,KOB,Kamui,Kobayashi,1986-09-13,Japanese,http://en.wikipedia.org/wiki/Kamui_Kobayashi
818,22239,5,25,21,\N,R,22,0,24,\N,\N,18,19,1:31.781,182.586,43,vergne,25,VER,Jean-Éric,Vergne,1990-04-25,French,http://en.wikipedia.org/wiki/Jean-%C3%89ric_Vergne
