driverId,resultId,constructorId,result_number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,driverRef,number,code,forename,surname,dob,nationality,url
1,589,1,2,1,1,1,1,10,70,1:35:52.991,5752991,13,2,1:20.171,196.724,1,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton
8,590,6,6,3,2,2,2,8,70,+0.715,5753706,70,1,1:20.047,197.029,1,raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen
2,591,2,9,2,3,3,3,6,70,+43.129,5796120,16,5,1:20.582,195.721,1,heidfeld,\N,HEI,Nick,Heidfeld,1977-05-10,German,http://en.wikipedia.org/wiki/Nick_Heidfeld
4,592,1,1,6,4,4,4,5,70,+44.858,5797849,49,3,1:20.324,196.349,1,alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,http://en.wikipedia.org/wiki/Fernando_Alonso
9,593,2,10,7,5,5,5,4,70,+47.616,5800607,40,4,1:20.419,196.117,1,kubica,88,KUB,Robert,Kubica,1984-12-07,Polish,http://en.wikipedia.org/wiki/Robert_Kubica
23,594,7,11,5,6,6,6,3,70,+50.669,5803660,69,9,1:20.961,194.804,1,ralf_schumacher,\N,SCH,Ralf,Schumacher,1975-06-30,German,http://en.wikipedia.org/wiki/Ralf_Schumacher
3,595,3,16,4,7,7,7,2,70,+59.139,5812130,68,6,1:20.672,195.502,1,rosberg,6,ROS,Nico,Rosberg,1985-06-27,German,http://en.wikipedia.org/wiki/Nico_Rosberg
5,596,4,4,11,8,8,8,1,70,+1:08.104,5821095,69,8,1:20.935,194.867,1,kovalainen,\N,KOV,Heikki,Kovalainen,1981-10-19,Finnish,http://en.wikipedia.org/wiki/Heikki_Kovalainen
17,597,9,15,9,9,9,9,0,70,+1:16.331,5829322,63,7,1:20.915,194.915,1,webber,\N,WEB,Mark,Webber,1976-08-27,Australian,http://en.wikipedia.org/wiki/Mark_Webber
15,598,7,12,8,10,10,10,0,69,\N,\N,48,12,1:21.253,194.104,11,trulli,\N,TRU,Jarno,Trulli,1974-07-13,Italian,http://en.wikipedia.org/wiki/Jarno_Trulli
14,599,9,14,10,11,11,11,0,69,\N,\N,67,14,1:21.553,193.390,11,coulthard,\N,COU,David,Coulthard,1971-03-27,British,http://en.wikipedia.org/wiki/David_Coulthard
21,600,4,3,13,12,12,12,0,69,\N,\N,66,15,1:21.695,193.054,11,fisichella,\N,FIS,Giancarlo,Fisichella,1973-01-14,Italian,http://en.wikipedia.org/wiki/Giancarlo_Fisichella
13,601,6,5,14,13,13,13,0,69,\N,\N,37,11,1:20.981,194.756,11,massa,19,MAS,Felipe,Massa,1981-04-25,Brazilian,http://en.wikipedia.org/wiki/Felipe_Massa
25,602,3,17,12,14,14,14,0,69,\N,\N,49,13,1:21.264,194.078,11,wurz,\N,WUR,Alexander,Wurz,1974-02-15,Austrian,http://en.wikipedia.org/wiki/Alexander_Wurz
11,603,8,22,19,15,15,15,0,69,\N,\N,66,10,1:20.980,194.759,11,sato,\N,SAT,Takuma,Sato,1977-01-28,Japanese,http://en.wikipedia.org/wiki/Takuma_Sato
20,604,5,19,20,16,16,16,0,69,\N,\N,65,16,1:21.915,192.536,11,vettel,5,VET,Sebastian,Vettel,1987-07-03,German,http://en.wikipedia.org/wiki/Sebastian_Vettel
16,605,12,20,21,17,17,17,0,68,\N,\N,67,19,1:22.263,191.721,12,sutil,99,SUT,Adrian,Sutil,1983-01-11,German,http://en.wikipedia.org/wiki/Adrian_Sutil
22,606,11,8,18,18,18,18,0,68,\N,\N,34,17,1:22.004,192.327,12,barrichello,\N,BAR,Rubens,Barrichello,1972-05-23,Brazilian,http://en.wikipedia.org/wiki/Rubens_Barrichello
24,607,5,18,16,\N,R,19,0,42,\N,\N,35,20,1:22.410,191.379,10,liuzzi,\N,LIU,Vitantonio,Liuzzi,1980-08-06,Italian,http://en.wikipedia.org/wiki/Vitantonio_Liuzzi
19,608,8,23,15,\N,R,20,0,41,\N,\N,39,18,1:22.166,191.948,3,davidson,\N,DAV,Anthony,Davidson,1979-04-18,British,http://en.wikipedia.org/wiki/Anthony_Davidson
18,609,11,7,17,\N,R,21,0,35,\N,\N,25,21,1:22.906,190.234,37,button,22,BUT,Jenson,Button,1980-01-19,British,http://en.wikipedia.org/wiki/Jenson_Button
29,610,12,21,22,\N,R,22,0,4,\N,\N,4,22,1:26.741,181.824,3,yamamoto,\N,YAM,Sakon,Yamamoto,1982-07-09,Japanese,http://en.wikipedia.org/wiki/Sakon_Yamamoto
