driverId,resultId,constructorId,result_number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,driverRef,number,code,forename,surname,dob,nationality,url
207,13317,32,5,2,1,1,1,9,80,1:51:35.470,6695470,\N,\N,\N,\N,1,mario_andretti,\N,\N,Mario,Andretti,1940-02-28,American,http://en.wikipedia.org/wiki/Mario_Andretti
182,13318,6,11,1,2,2,2,6,80,+0.773,6696243,\N,\N,\N,\N,1,lauda,\N,\N,Niki,Lauda,1949-02-22,Austrian,http://en.wikipedia.org/wiki/Niki_Lauda
222,13319,59,20,3,3,3,3,4,80,+4.857,6700327,\N,\N,\N,\N,1,scheckter,\N,\N,Jody,Scheckter,1950-01-29,South African,http://en.wikipedia.org/wiki/Jody_Scheckter
221,13320,25,4,12,4,4,4,3,80,+1:14.487,6769957,\N,\N,\N,\N,1,depailler,\N,\N,Patrick,Depailler,1944-08-09,French,http://en.wikipedia.org/wiki/Patrick_Depailler
224,13321,56,28,7,5,5,5,2,80,+1:20.908,6776378,\N,\N,\N,\N,1,emerson_fittipaldi,\N,\N,Emerson,Fittipaldi,1946-12-12,Brazilian,http://en.wikipedia.org/wiki/Emerson_Fittipaldi
197,13322,67,34,9,6,6,6,1,79,\N,\N,\N,\N,\N,\N,11,jarier,\N,\N,Jean-Pierre,Jarier,1946-07-10,French,http://en.wikipedia.org/wiki/Jean-Pierre_Jarier
231,13323,1,1,8,7,7,7,0,79,\N,\N,\N,\N,\N,\N,11,hunt,\N,\N,James,Hunt,1947-08-29,British,http://en.wikipedia.org/wiki/James_Hunt
255,13324,32,6,16,8,8,8,0,79,\N,\N,\N,\N,\N,\N,11,nilsson,\N,\N,Gunnar,Nilsson,1948-11-20,Swedish,http://en.wikipedia.org/wiki/Gunnar_Nilsson
172,13325,27,26,5,9,9,9,0,78,\N,\N,\N,\N,\N,\N,10,laffite,\N,\N,Jacques,Laffite,1943-11-21,French,http://en.wikipedia.org/wiki/Jacques_Laffite
205,13326,37,10,18,10,10,10,0,77,\N,\N,\N,\N,\N,\N,13,henton,\N,\N,Brian,Henton,1946-09-19,British,http://en.wikipedia.org/wiki/Brian_Henton
246,13327,63,18,19,11,11,11,0,77,\N,\N,\N,\N,\N,\N,13,binder,\N,\N,Hans,Binder,1948-06-12,Austrian,http://en.wikipedia.org/wiki/Hans_Binder
238,13328,25,3,10,\N,R,12,0,62,\N,\N,\N,\N,\N,\N,69,peterson,\N,\N,Ronnie,Peterson,1944-02-14,Swedish,http://en.wikipedia.org/wiki/Ronnie_Peterson
223,13329,57,22,13,\N,R,13,0,57,\N,\N,\N,\N,\N,\N,6,regazzoni,\N,\N,Clay,Regazzoni,1939-09-05,Swiss,http://en.wikipedia.org/wiki/Clay_Regazzoni
233,13330,34,8,17,\N,R,14,0,53,\N,\N,\N,\N,\N,\N,23,stuck,\N,\N,Hans-Joachim,Stuck,1951-01-01,German,http://en.wikipedia.org/wiki/Hans_Joachim_Stuck
178,13331,58,17,14,\N,R,15,0,40,\N,\N,\N,\N,\N,\N,6,jones,\N,\N,Alan,Jones,1946-11-02,Australian,http://en.wikipedia.org/wiki/Alan_Jones_(Formula_1)
200,13332,1,2,15,\N,R,16,0,39,\N,\N,\N,\N,\N,\N,64,mass,\N,\N,Jochen,Mass,1946-09-30,German,http://en.wikipedia.org/wiki/Jochen_Mass
187,13333,34,7,6,\N,D,17,0,33,\N,\N,\N,\N,\N,\N,2,watson,\N,\N,John,Watson,1946-05-04,British,http://en.wikipedia.org/wiki/John_Watson_(racing_driver)
254,13334,58,16,20,\N,R,18,0,27,\N,\N,\N,\N,\N,\N,6,zorzi,\N,\N,Renzo,Zorzi,1946-12-12,Italian,http://en.wikipedia.org/wiki/Renzo_Zorzi
237,13335,37,9,22,\N,R,19,0,15,\N,\N,\N,\N,\N,\N,6,ribeiro,\N,\N,Alex,Ribeiro,1948-11-07,Brazilian,http://en.wikipedia.org/wiki/Alex_Ribeiro
199,13336,6,12,4,\N,R,20,0,5,\N,\N,\N,\N,\N,\N,3,reutemann,\N,\N,Carlos,Reutemann,1942-04-12,Argentine,http://en.wikipedia.org/wiki/Carlos_Reutemann
239,13337,37,30,21,\N,R,21,0,4,\N,\N,\N,\N,\N,\N,3,lunger,\N,\N,Brett,Lunger,1945-11-14,American,http://en.wikipedia.org/wiki/Brett_Lunger
230,13338,63,19,11,\N,R,22,0,0,\N,\N,\N,\N,\N,\N,3,brambilla,\N,\N,Vittorio,Brambilla,1937-11-11,Italian,http://en.wikipedia.org/wiki/Vittorio_Brambilla
