driverId,resultId,constructorId,result_number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,driverRef,number,code,forename,surname,dob,nationality,url
4,1355,4,5,3,1,1,1,10,67,1:26:28.599,5188599,21,2,1:15.235,218.866,1,alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,http://en.wikipedia.org/wiki/Fernando_Alonso
31,1356,1,10,20,2,2,2,8,67,+22.569,5211168,54,4,1:15.878,217.011,1,montoya,\N,MON,Juan,Pablo Montoya,1975-09-20,Colombian,http://en.wikipedia.org/wiki/Juan_Pablo_Montoya
18,1357,16,3,2,3,3,3,6,67,+24.422,5213021,19,3,1:15.843,217.111,1,button,22,BUT,Jenson,Button,1980-01-19,British,http://en.wikipedia.org/wiki/Jenson_Button
21,1358,4,6,4,4,4,4,5,67,+50.587,5239186,21,5,1:15.890,216.977,1,fisichella,\N,FIS,Giancarlo,Fisichella,1973-01-14,Italian,http://en.wikipedia.org/wiki/Giancarlo_Fisichella
30,1359,6,1,5,5,5,5,4,67,+51.690,5240289,18,7,1:16.099,216.381,1,michael_schumacher,\N,MSC,Michael,Schumacher,1969-01-03,German,http://en.wikipedia.org/wiki/Michael_Schumacher
23,1360,7,17,12,6,6,6,3,67,+52.242,5240841,23,6,1:16.073,216.455,1,ralf_schumacher,\N,SCH,Ralf,Schumacher,1975-06-30,German,http://en.wikipedia.org/wiki/Ralf_Schumacher
14,1361,9,14,11,7,7,7,2,67,+52.700,5241299,18,8,1:16.233,216.000,1,coulthard,\N,COU,David,Coulthard,1971-03-27,British,http://en.wikipedia.org/wiki/David_Coulthard
13,1362,15,12,13,8,8,8,1,67,+56.570,5245169,45,10,1:16.288,215.845,1,massa,19,MAS,Felipe,Massa,1981-04-25,Brazilian,http://en.wikipedia.org/wiki/Felipe_Massa
32,1363,9,15,10,9,9,9,0,67,+1:09.818,5258417,45,9,1:16.236,215.992,1,klien,\N,KLI,Christian,Klien,1983-02-07,Austrian,http://en.wikipedia.org/wiki/Christian_Klien
22,1364,6,2,15,10,10,10,0,66,\N,\N,47,12,1:16.528,215.168,11,barrichello,\N,BAR,Rubens,Barrichello,1972-05-23,Brazilian,http://en.wikipedia.org/wiki/Rubens_Barrichello
2,1365,3,8,7,11,11,11,0,66,\N,\N,10,13,1:16.607,214.946,11,heidfeld,\N,HEI,Nick,Heidfeld,1977-05-10,German,http://en.wikipedia.org/wiki/Nick_Heidfeld
11,1366,16,4,8,12,12,12,0,66,\N,\N,27,14,1:16.725,214.615,11,sato,\N,SAT,Takuma,Sato,1977-01-28,Japanese,http://en.wikipedia.org/wiki/Takuma_Sato
27,1367,18,21,16,13,13,13,0,65,\N,\N,11,19,1:18.425,209.963,12,albers,\N,ALB,Christijan,Albers,1979-04-16,Dutch,http://en.wikipedia.org/wiki/Christijan_Albers
15,1368,7,16,9,14,14,14,0,64,\N,\N,45,11,1:16.474,215.320,13,trulli,\N,TRU,Jarno,Trulli,1974-07-13,Italian,http://en.wikipedia.org/wiki/Jarno_Trulli
35,1369,15,11,14,15,15,15,0,64,\N,\N,26,16,1:17.122,213.511,13,villeneuve,\N,VIL,Jacques,Villeneuve,1971-04-09,Canadian,http://en.wikipedia.org/wiki/Jacques_Villeneuve
39,1370,17,19,19,16,16,16,0,64,\N,\N,7,18,1:18.212,210.535,13,karthikeyan,\N,KAR,Narain,Karthikeyan,1977-01-14,Indian,http://en.wikipedia.org/wiki/Narain_Karthikeyan
33,1371,17,18,18,17,17,17,0,64,\N,\N,12,17,1:18.106,210.821,13,monteiro,\N,TMO,Tiago,Monteiro,1976-07-24,Portuguese,http://en.wikipedia.org/wiki/Tiago_Monteiro
38,1372,18,20,17,18,18,18,0,63,\N,\N,44,20,1:19.025,208.369,14,doornbos,\N,DOO,Robert,Doornbos,1981-09-23,Dutch,http://en.wikipedia.org/wiki/Robert_Doornbos
17,1373,3,7,6,\N,N,19,0,55,\N,\N,46,15,1:16.803,214.397,55,webber,\N,WEB,Mark,Webber,1976-08-27,Australian,http://en.wikipedia.org/wiki/Mark_Webber
8,1374,1,9,1,\N,R,20,0,32,\N,\N,24,1,1:14.873,219.924,9,raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen
